keyword,description,department
Pre-clinical drug development,"Working across our research themes,  projects will focus on drug efficacy, formulation and pharmacokinetics",Pharm
Drug Safety,"Working across our research themes, projects will determine safety and toxicology profiles. Projects may explore the adverse effects of drugs, including injury to specific organs, such as liver, kidney and the GI tract, plus allergic drug reactions. ",Pharm
Clinical drug development,"Working across our research themes, projects may investigate inter-individual differences in the response to medications using a variety of techniques.",Pharm
Systems pharmacology and information science,"Working across our research themes, these projects combine big data, omics analysis, bioinformatics and modelling within a pharmacological context",Pharm
Respiratory infections,Respiratory infectious disease covering major bacterial and viral pathogens.,CIMI
Emerging infections and pandemic threats,"Outbreak-prone infections and infections of public health interest, aligned to measures to combat them",CIMI
Gastrointestinal infections,Applied health research on gastrointestinal and diarrhoeal disease in the UK and low income countries in adults and children.,CIMI
Sepsis and acute inflammatory conditions,"Innate immunity, inflammation and the development of diagnostic & prognostic tests and therapies.",CIMI
Global health,Infection research through to public health policy and delivery in the Global South and low income countries.,CIMI
Ecology,"How organisms interact with each other and their environment, including processes that define ecosystems, habitats or landscapes ",EEB
Conservation  Biology and Environmental Change,"The maintenance of biodiversity, adaptation to anthropogenic environmental change, invasive species",EEB
Evolution and Adaptation,"How organisms evolve and co-evolve in response to biotic or abiotic challenges, including mechanisms and genetics of adaptation",EEB
Animal Behaviour,"Animal communication, competition, cooperation, predation or sexual behaviour, and the evolution of behavioural traits",EEB
Host-microbe biology and co-evolution,"Positive or negative interactions between hosts and microbes: microbiomes, host-parasite biology, host-symbiont interactions or crop-microbe-insect interactions",IBM
Infection biology ,"Examining how pathogens (human and animal) interact with their hosts at the molecular and cellular level to design better diagnostics, vaccines and drugs.",EEB
Parasitology and Vector Borne disease,"Methods to control insects that transmit disease to humans, livestock and pets, and the effect of climate change on the epidemiology of parasitic diseases and to improve our understanding of host-parasite relationships.",IBM
Companion animals  and health data,"Harnessing electronic health and environmental data for improving companion animal welfare, education and public health",IBM
Ruminant health and welfare,"Undertaking fundamental and applied research to improve the health and well-being of food producing animals, including lameness.",LOH
Animals in society,"Exploring the interplay between people and animals and the impact on health, disease and well-being",LOH
Wildlife and zoonotic disease ,One health approaches to study tick population dynamics and their impact on animal and human disease risk.,LOH
One Health,"Using a One Health approach to study interaction between humans, animal and environmental health on antimicrobial resistance, food sustainability/security and animal disease globally.",LOH
Animal welfare research,"Covering equine, companion and production animal welfare using epidemiological and sociological research to better understand health and disease.",LOH
