student_id,programme,types,keywords,prerequisites
201427536,Biochemistry,"Laboratory,Field,Health Research,Image analysis,Education Research","Drug discovery,Drug safety,Development,Pre-clinical drug development,Cancer cell signalling","LIFE201,LIFE202,LIFE203,LIFE207,LIFE223,LIFE224,LIFE227,LIFE237,LIFE242,LIFE245"
201431528,Biological Sciences,"Laboratory,Systematic Review,Health Research,Data analysis,Meta-analysis","Host-microbe biology and co-evolution,Parasitology and vector borne disease,Emerging infections and pandemic threats,One health,Global health","LIFE202,LIFE208,LIFE209,LIFE211,LIFE212,LIFE223,LIFE225,LIFE228,LIFE233,LIFE236"
201460733,Zoology,"Field,Laboratory,School,Systematic Review,Data analysis","Animal behaviour,Evolution and adaptation,Ecology,Conservation  biology and environmental change,Wildlife and zoonotic disease","LIFE211,LIFE212,LIFE213,LIFE214,LIFE216,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201461390,Bioveterinary Sciences,"Health Research,Outreach,School,Systematic Review,Education Research","Musculoskeletal biology,Wildlife and zoonotic disease,Working with local schools,Animals in society,Gastrointestinal infections","LIFE204,LIFE211,LIFE215,LIFE216,LIFE217,LIFE227,LIFE230,LIFE237,LIFE239"
201461903,Microbiology and Infection,"School,Outreach,Laboratory,Journalism,Image analysis","Emerging infections and pandemic threats,Global health,Infection biology,Respiratory infections,Human immunology","LIFE202,LIFE208,LIFE209,LIFE210,LIFE221,LIFE223,LIFE227,LIFE228,LIFE236,LIFE237"
201463905,Anatomy and Human Biology,"Health Research,Market Analysis,Laboratory,Education Research,Data analysis","Gastrointestinal infections,Musculoskeletal ageing,Musculoskeletal biology,Sepsis and acute inflammatory conditions,Emerging infections and pandemic threats","LIFE204,LIFE205,LIFE218,LIFE219,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201468892,Biological and Medical Sciences,"Education Research,Health Research,Journalism,Outreach,Grant proposal","Parasitology and vector borne disease,Neurobiology and Neuropathology,Gastrointestinal infections,Infection biology,Host-microbe biology and co-evolution","LIFE202,LIFE204,LIFE207,LIFE208,LIFE209,LIFE223,LIFE225,LIFE227,LIFE236"
201471392,Anatomy and Human Biology,"Systematic Review,Data analysis,Meta-analysis,Health Research,Outreach","Musculoskeletal ageing,Musculoskeletal biology,Anatomy,Cancer outreach,Sepsis and acute inflammatory conditions","LIFE201,LIFE202,LIFE203,LIFE204,LIFE205"
201473318,Biological and Medical Sciences,"Grant proposal,Laboratory,Health Research,Data analysis,Systematic Review","Dental Innovation,Oral Microbiology,Musculoskeletal biology,Anatomy,Gastrointestinal infections","LIFE202,LIFE205,LIFE207,LIFE221,LIFE223,LIFE227,LIFE228,LIFE230,LIFE245"
201488844,Biological and Medical Sciences,"Laboratory,Meta-analysis,Data analysis,Systematic Review,Health Research","Neurobiology and Neuropathology,Calcium regulation,Musculoskeletal ageing,Clinical drug development,Gastrointestinal infections","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE225,LIFE227"
201500292,Biological and Medical Sciences,"Health Research,Laboratory,Grant proposal,Education Research,Field","Neurobiology and Neuropathology,Drug discovery,Clinical drug development,Pre-clinical drug development,Drug safety","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201510155,Biological Sciences,"Field,Laboratory,Systematic Review,Journalism,Outreach","Plant science,Plant ecology,Host-microbe biology and co-evolution,One health,Evolution and adaptation","LIFE202,LIFE203,LIFE204,LIFE205,LIFE213,LIFE223,LIFE227"
201510539,Biological and Medical Sciences,"Field,Market Analysis,Health Research,Data analysis,Systematic Review","Anatomy,Respiratory infections,Musculoskeletal ageing,Neurobiology and Neuropathology,Dental Innovation","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE227,LIFE229,LIFE234,LIFE242"
201512692,Biological Sciences,"Laboratory,Computer modelling,Outreach,School,Meta-analysis","Cancer immunology,Cancer microenvironment,Drug discovery,Pre-clinical drug development,Drug safety","LIFE201,LIFE202,LIFE206,LIFE207,LIFE221,LIFE223,LIFE224,LIFE225,LIFE234,LIFE237"
201512727,Biochemistry,"Laboratory,Data analysis,Health Research,Field,Meta-analysis","Cancer cell signalling,Cancer immunology,Cancer medicine,Cardiotoxicity,Cell signalling","LIFE201,LIFE202,LIFE203,LIFE223,LIFE224,LIFE225,LIFE227,LIFE237,LIFE245"
201517254,Biological Sciences,"Laboratory,Field,Bioinformatics,Data analysis,Health Research","Plant science,One health,Plant ecology,Host-microbe biology and co-evolution,Conservation  biology and environmental change","LIFE201,LIFE209,LIFE210,LIFE213,LIFE214,LIFE223,LIFE226,LIFE227,LIFE228,LIFE233"
201517610,Zoology,"Field,Laboratory,GIS analysis,Computer modelling,Data analysis","Animal behaviour,Conservation  biology and environmental change,Ecology,Evolution and adaptation,Animals in society","LIFE211,LIFE212,LIFE213,LIFE214,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201535231,Biological and Medical Sciences,"Journalism,Laboratory,Bioinformatics,Meta-analysis,Health Research","Development,Drug safety,Cancer genetics,Molecular cell biology,Clinical drug development","LIFE201,LIFE207,LIFE223,LIFE225,LIFE227"
201539246,Biochemistry,"Health Research,Bioinformatics,Systematic Review,Meta-analysis,Field","Cardiotoxicity,Infection biology,Drug safety,Cancer genetics,Cancer cell signalling","LIFE201,LIFE202,LIFE203,LIFE210,LIFE223,LIFE224,LIFE227,LIFE237,LIFE242,LIFE245"
201540359,Biological and Medical Sciences,"Journalism,Health Research,Education Research,Systematic Review,Outreach","Emerging infections and pandemic threats,Global health,One health,Drug safety,Gastrointestinal infections","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201540546,Anatomy and Human Biology,"Laboratory,Health Research,Image analysis,Education Research,Meta-analysis","Anatomy,Neurobiology and Neuropathology,Musculoskeletal biology,Dental Innovation,Development","LIFE204,LIFE205,LIFE218,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201541139,Biological and Medical Sciences,"Laboratory,Systematic Review,Journalism,Data analysis,Health Research","Global health,Pre-clinical drug development,Emerging infections and pandemic threats,Cell signalling,Cancer genetics","LIFE202,LIFE204,LIFE207,LIFE209,LIFE223,LIFE225,LIFE227,LIFE229,LIFE236"
201541343,Biological Sciences,"Laboratory,Systematic Review,Meta-analysis,Grant proposal,Image analysis","Cell signalling,Development,Human immunology,Cancer immunology,Sepsis and acute inflammatory conditions","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE226,LIFE227,LIFE229,LIFE232"
201541348,Bioveterinary Sciences,"Education Research,Laboratory,Field,Systematic Review,Outreach","Infection biology,Emerging infections and pandemic threats,Animals in society,Parasitology and vector borne disease,Animal welfare research","LIFE212,LIFE215,LIFE216,LIFE217,LIFE223,LIFE227,LIFE230,LIFE237,LIFE240"
201541434,Bioveterinary Sciences,"Laboratory,Field,Image analysis,Systematic Review,Health Research","Ruminant health and welfare,Infection biology,Animal welfare research,Companion animals  and health data,Animals in society","LIFE212,LIFE227,LIFE237,LIFE239,LIFE240"
201542057,Anatomy and Human Biology,"Field,Health Research,Laboratory,Data analysis,Meta-analysis","Cardioprotection,Cancer immunology,Musculoskeletal biology,Gastrointestinal infections,Sepsis and acute inflammatory conditions","LIFE204,LIFE205,LIFE218,LIFE219,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201542209,Microbiology and Infection,"Laboratory,Journalism,Field,Systematic Review,Bioinformatics","Host-microbe biology and co-evolution,Animal welfare research,Cell signalling,Animals in society,Infection biology","LIFE202,LIFE208,LIFE209,LIFE210,LIFE221,LIFE223,LIFE226,LIFE227,LIFE228,LIFE237"
201542538,Biological and Medical Sciences,"Laboratory,Journalism,Field,Systematic Review,Education Research","Cell signalling,Cancer cell signalling,Molecular cell biology,Neurobiology and Neuropathology,Protein structure and function","LIFE202,LIFE204,LIFE206,LIFE207,LIFE223,LIFE225,LIFE227,LIFE234,LIFE237,LIFE245"
201542637,Biological Sciences,"Field,Systematic Review,Laboratory,Market Analysis,Journalism","Animal behaviour,Animals in society,Conservation  biology and environmental change,Companion animals  and health data,Evolution and adaptation","LIFE209,LIFE211,LIFE212,LIFE213,LIFE214,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201542714,Biological and Medical Sciences,"Field,Health Research,Market Analysis,Outreach,Grant proposal","Cancer outreach,Musculoskeletal ageing,Clinical drug development,Drug safety,Global health","LIFE202,LIFE204,LIFE205,LIFE207,LIFE221,LIFE223,LIFE227,LIFE229,LIFE236,LIFE242"
201542990,Biological and Medical Sciences,"Laboratory,Health Research,Systematic Review,Grant proposal,Education Research","Cancer medicine,Pre-clinical drug development,Cancer immunology,Cardiotoxicity,Global health","LIFE202,LIFE204,LIFE207,LIFE208,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE236"
201543499,Biological and Medical Sciences,"Laboratory,Health Research,Field,Outreach,Market Analysis","Protein structure and function,Molecular cell biology,Cancer immunology,Emerging infections and pandemic threats,Infection biology","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223"
201543524,Anatomy and Human Biology,"Laboratory,Image analysis,Computer modelling,Health Research,Market Analysis","Anatomy,Biomechanics,Neurobiology and Neuropathology,Cancer medicine,Ophtalmology - image analysis","LIFE204,LIFE205,LIFE218,LIFE219,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201543615,Biological and Medical Sciences,"Systematic Review,Laboratory,Meta-analysis,Data analysis,Health Research","Musculoskeletal ageing,Neurobiology and Neuropathology,Musculoskeletal biology,Anatomy,Gastrointestinal infections","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201543869,Biological and Medical Sciences,"Laboratory,Data analysis,Bioinformatics,Image analysis,Systematic Review","Cancer cell signalling,Cell signalling,Molecular cell biology,Development,Calcium regulation","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201544451,Biological and Medical Sciences,"Laboratory,Data analysis,Meta-analysis,Systematic Review,Field","Pre-clinical drug development,Cancer medicine,Drug discovery,Clinical drug development,Drug safety","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201544724,Biological and Medical Sciences,"Laboratory,Field,Health Research,Data analysis,Meta-analysis","Neurobiology and Neuropathology,Musculoskeletal ageing,Musculoskeletal biology,Cardioprotection,Cancer immunology","LIFE202,LIFE204,LIFE207,LIFE210,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201545307,Zoology,"Field,Laboratory,Image analysis,Journalism,Education Research","Conservation  biology and environmental change,Animal behaviour,Animal welfare research,Ecology,Evolution and adaptation","LIFE212,LIFE213,LIFE214,LIFE230,LIFE238"
201545589,Bioveterinary Sciences,"Meta-analysis,Data analysis,Systematic Review,Health Research,Field","Infection biology,Musculoskeletal ageing,Animal welfare research,Parasitology and vector borne disease,Sepsis and acute inflammatory conditions","LIFE212,LIFE215,LIFE216,LIFE217,LIFE223,LIFE227,LIFE230,LIFE237,LIFE239,LIFE240"
201546415,Anatomy and Human Biology,"Meta-analysis,Systematic Review,Field,Grant proposal,Health Research","Ophthalmology - Tissue engineering and regenerative medicine,Emerging infections and pandemic threats,Infection biology,Cardiotoxicity,Sepsis and acute inflammatory conditions","LIFE202,LIFE205,LIFE218,LIFE219,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201547705,Biochemistry,"Laboratory,Bioinformatics,Computational project,Computer modelling,Health Research","Cancer immunology,Infection biology,Cancer genetics,Sepsis and acute inflammatory conditions,Drug discovery","LIFE202,LIFE203,LIFE210,LIFE223,LIFE224,LIFE242"
201548416,Biological Sciences,"Meta-analysis,Systematic Review,Data analysis,Journalism,Laboratory","Drug safety,Gastrointestinal infections,Biomechanics,Cell signalling,Drug discovery","LIFE201,LIFE202,LIFE204,LIFE206,LIFE207"
201551265,Biological and Medical Sciences,"Journalism,Systematic Review,Outreach,Market Analysis,Education Research","Clinical drug development,Drug safety,Cancer outreach,Emerging infections and pandemic threats,Sepsis and acute inflammatory conditions","LIFE205,LIFE207,LIFE223,LIFE225,LIFE227"
201551581,Biological Sciences,"Education Research,Health Research,Image analysis,Systematic Review,Data analysis","Gastrointestinal infections,Respiratory infections,Neurobiology and Neuropathology,Sepsis and acute inflammatory conditions,Drug discovery","LIFE202,LIFE204,LIFE206,LIFE207,LIFE209,LIFE223,LIFE227,LIFE229,LIFE232,LIFE234"
201551873,Biochemistry,"Laboratory,Bioinformatics,School,Data analysis,Meta-analysis","Cancer genetics,Development,Working with local schools,Educational research,Host-microbe biology and co-evolution","LIFE201,LIFE202,LIFE203,LIFE210,LIFE223,LIFE224,LIFE225,LIFE227,LIFE237,LIFE245"
201553392,Biochemistry,"Laboratory,Computational project,Bioinformatics,Computer modelling,Health Research","Cancer genetics,Multi-omics,Cancer medicine,Structural biology,Bioinformatics","LIFE201,LIFE202,LIFE203,LIFE208,LIFE223,LIFE224,LIFE225,LIFE237,LIFE245"
201553475,Biological Sciences,"Data analysis,Meta-analysis,Systematic Review,Outreach,Computational project","Parasitology and vector borne disease,Gastrointestinal infections,Wildlife and zoonotic disease,Infection biology,Emerging infections and pandemic threats","LIFE202,LIFE209,LIFE210,LIFE216,LIFE221,LIFE223,LIFE227,LIFE228,LIFE236,LIFE237"
201554529,Microbiology and Infection,"Laboratory,Meta-analysis,Data analysis,Systematic Review,Health Research","Human immunology,Respiratory infections,Infection biology,Drug discovery,Emerging infections and pandemic threats","LIFE202,LIFE208,LIFE209,LIFE210,LIFE221,LIFE223,LIFE226,LIFE227,LIFE228,LIFE237"
201555361,Biological Sciences,"Systematic Review,Market Analysis,Laboratory,Grant proposal,Meta-analysis","Clinical drug development,Global health,Parasitology and vector borne disease,Pre-clinical drug development,Cancer medicine","LIFE209,LIFE210,LIFE211,LIFE221,LIFE222,LIFE223,LIFE230,LIFE236,LIFE243"
201555580,Biological and Medical Sciences,"Field,Laboratory,School,Grant proposal,Outreach","Neurobiology and Neuropathology,Working with local schools,Musculoskeletal biology,Cell signalling,Outreach and public engagement","LIFE202,LIFE204,LIFE205,LIFE207,LIFE223,LIFE227,LIFE229,LIFE234,LIFE242,LIFE245"
201556422,Biological Sciences,"Laboratory,Field,Journalism,Grant proposal,Education Research","Evolution and adaptation,Parasitology and vector borne disease,Ecology,Wildlife and zoonotic disease,Animal behaviour","LIFE211,LIFE212,LIFE213,LIFE214,LIFE216,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201557933,Biological Sciences,"Meta-analysis,Systematic Review,Market Analysis,Data analysis,Health Research","Drug safety,Drug discovery,Clinical drug development,Cardiotoxicity,Respiratory infections","LIFE201,LIFE202,LIFE204,LIFE206,LIFE207,LIFE223,LIFE225,LIFE229,LIFE232,LIFE234"
201558199,Biological Sciences,"Laboratory,Health Research,Journalism,Systematic Review,Outreach","Infection biology,Cancer medicine,Drug discovery,Drug safety,Respiratory infections","LIFE202,LIFE204,LIFE206,LIFE221,LIFE226,LIFE227,LIFE229,LIFE234"
201558908,Biological and Medical Sciences,"Laboratory,Journalism,Grant proposal,Health Research,Systematic Review","Emerging infections and pandemic threats,Global health,Drug discovery,Cardiac electrophysiology,Cancer cell signalling","LIFE202,LIFE204,LIFE207,LIFE208,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE236"
201559340,Biological and Medical Sciences,"Health Research,Meta-analysis,Grant proposal,Systematic Review,Data analysis","Cardiac electrophysiology,Musculoskeletal ageing,Cancer genetics,Respiratory infections,Anatomy","LIFE202,LIFE204,LIFE205,LIFE207,LIFE208,LIFE223,LIFE225,LIFE227,LIFE228,LIFE229"
201559508,Biological Sciences,"Journalism,Outreach,Systematic Review,Market Analysis,Laboratory","Cell signalling,Neurobiology and Neuropathology,Calcium regulation,Cancer microenvironment,Cancer immunology","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE227,LIFE228,LIFE229,LIFE234"
201559900,Biological and Medical Sciences,"Market Analysis,Journalism,Education Research,Outreach,Systematic Review","Global health,Gastrointestinal infections,Emerging infections and pandemic threats,Ophthalmology - biomaterials,Cancer outreach","LIFE202,LIFE204,LIFE207,LIFE209,LIFE210,LIFE223,LIFE227,LIFE229,LIFE236,LIFE242"
201560531,Biological and Medical Sciences,"Health Research,Laboratory,Meta-analysis,Image analysis,Bioinformatics","Ophthalmology - biomaterials,Ophthalmology - Tissue engineering and regenerative medicine,Ophthalmology - in vitro model design,Ophthalmology - image analysis,Cardiotoxicity","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201560676,Biological Sciences,"Market Analysis,Journalism,Outreach,Education Research,Health Research","Global health,Gastrointestinal infections,Outreach and public engagement,Cancer outreach,Clinical drug development","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE227,LIFE229,LIFE232,LIFE234"
201561825,Biochemistry,"Laboratory,Bioinformatics,Field,Meta-analysis,Data analysis","Cell signalling,Musculoskeletal ageing,Molecular cell biology,Neurobiology and Neuropathology,Drug discovery","LIFE201,LIFE202,LIFE203,LIFE207,LIFE223,LIFE224,LIFE227,LIFE237,LIFE242,LIFE245"
201563105,Biological Sciences,"Health Research,Grant proposal,School,Education Research,Bioinformatics","Emerging infections and pandemic threats,Drug safety,Global health,Cancer immunology,Sepsis and acute inflammatory conditions","LIFE202,LIFE207,LIFE209,LIFE210,LIFE221,LIFE223,LIFE227,LIFE228,LIFE236,LIFE237"
201563128,Biological and Medical Sciences,"Laboratory,Meta-analysis,Systematic Review,Data analysis,Field","Cancer microenvironment,Oral Microbiology,Musculoskeletal ageing,Development,Evolution and adaptation","LIFE202,LIFE204,LIFE206,LIFE207,LIFE208,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201565487,Biological Sciences,"Laboratory,Field,School,Education Research,Health Research","Neurobiology and Neuropathology,Cardiac electrophysiology,Musculoskeletal biology,Cardioprotection,Cardiotoxicity","LIFE201,LIFE202,LIFE204,LIFE206,LIFE207,LIFE223,LIFE227,LIFE229,LIFE232,LIFE234"
201565806,Biological Sciences,"Laboratory,Systematic Review,Outreach,School,Education Research","Infection biology,Host-microbe biology and co-evolution,Parasitology and vector borne disease,Emerging infections and pandemic threats,Global health","LIFE202,LIFE208,LIFE210,LIFE223,LIFE228,LIFE236"
201567001,Biological and Medical Sciences,"Systematic Review,Meta-analysis,Laboratory,Health Research,Data analysis","Cancer immunology,Cancer microenvironment,Infection biology,Drug safety,Musculoskeletal biology","LIFE202,LIFE204,LIFE207,LIFE210,LIFE221,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201567962,Biological Sciences,"Field,School,Laboratory,Journalism,Data analysis","Ecology,Conservation  biology and environmental change,Evolution and adaptation,Animal behaviour,Wildlife and zoonotic disease","LIFE211,LIFE213,LIFE214,LIFE222,LIFE223,LIFE230,LIFE233,LIFE238,LIFE240,LIFE243"
201568805,Biological Sciences,"Laboratory,Health Research,Market Analysis,Systematic Review,Bioinformatics","Infection biology,Emerging infections and pandemic threats,Parasitology and vector borne disease,One health,Biomechanics","LIFE207,LIFE209,LIFE210,LIFE221,LIFE223,LIFE227,LIFE228,LIFE229,LIFE234"
201570139,Biological and Medical Sciences,"Data analysis,Laboratory,Bioinformatics,Meta-analysis,Education Research","Musculoskeletal biology,Clinical drug development,Biomechanics,Musculoskeletal ageing,Protein structure and function","LIFE204,LIFE205,LIFE206,LIFE225,LIFE229"
201570198,Biological and Medical Sciences,"Health Research,Education Research,Outreach,School,Laboratory","Anatomy,Cardioprotection,Global health,Educational research,Musculoskeletal ageing","LIFE202,LIFE204,LIFE207,LIFE208,LIFE221,LIFE223,LIFE227,LIFE228,LIFE229,LIFE242"
201571852,Biological and Medical Sciences,"Data analysis,Health Research,Meta-analysis,Market Analysis,Laboratory","Global health,Neurobiology and Neuropathology,Anatomy,Musculoskeletal biology,Outreach and public engagement","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE227,LIFE229,LIFE232,LIFE234"
201576028,Biological and Medical Sciences,"Image analysis,Journalism,Computer modelling,Data analysis,Meta-analysis","Anatomy,Musculoskeletal ageing,Gastrointestinal infections,Respiratory infections,Dental Innovation","LIFE204,LIFE207,LIFE221,LIFE227,LIFE229"
201576332,Biochemistry,"Data analysis,Systematic Review,Laboratory,Health Research,Bioinformatics","Structural biology,Cell signalling,Protein structure and function,Neurobiology and Neuropathology,Bioinformatics","LIFE201,LIFE202,LIFE203,LIFE223,LIFE224,LIFE225,LIFE227,LIFE237,LIFE245"
201576348,Anatomy and Human Biology,"Laboratory,Meta-analysis,Systematic Review,Health Research,Journalism","Musculoskeletal biology,Musculoskeletal ageing,Cardiotoxicity,Anatomy,Sepsis and acute inflammatory conditions","LIFE204,LIFE205,LIFE218,LIFE219,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201576473,Biological Sciences,"Laboratory,Grant proposal,Computational project,Health Research,Outreach","Clinical drug development,Designing educational resources,Drug discovery,Outreach and public engagement,Working with local schools","LIFE210,LIFE221,LIFE223,LIFE224,LIFE237"
201576844,Biochemistry,"Health Research,Laboratory,Image analysis,Field,Data analysis","Calcium regulation,Cell signalling,Pre-clinical drug development,Cancer immunology,Drug discovery","LIFE201,LIFE202,LIFE203,LIFE207,LIFE223,LIFE224,LIFE227,LIFE237,LIFE242,LIFE245"
201577318,Zoology,"Field,Laboratory,Journalism,Image analysis,Data analysis","Companion animals  and health data,Anatomy,Conservation  biology and environmental change,Development,Animal behaviour","LIFE211,LIFE212,LIFE213,LIFE215,LIFE216,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201577438,Biochemistry,"Health Research,Outreach,Market Analysis,Grant proposal,Education Research","Infection biology,Molecular cell biology,Cancer cell signalling,Musculoskeletal ageing,Designing educational resources","LIFE201,LIFE202,LIFE203,LIFE209,LIFE227,LIFE237,LIFE242,LIFE245"
201579122,Zoology,"Journalism,Field,School,GIS analysis,Outreach","Ecology,Conservation  biology and environmental change,Animals in society,Evolution and adaptation,Designing educational resources","LIFE211,LIFE212,LIFE213,LIFE214,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201579490,Biological Sciences,"Health Research,Education Research,Outreach,Journalism,Data analysis","Educational research,Outreach and public engagement,Neurobiology and Neuropathology,Global health,Infection biology","LIFE202,LIFE204,LIFE205,LIFE208,LIFE221,LIFE223,LIFE227,LIFE232,LIFE236"
201583247,Biological Sciences,"Laboratory,Bioinformatics,Journalism,Image analysis,Grant proposal","Neurobiology and Neuropathology,Cancer genetics,Cancer cell signalling,Cell signalling,Molecular cell biology","LIFE201,LIFE202,LIFE204,LIFE207,LIFE208,LIFE223,LIFE226,LIFE227,LIFE229,LIFE232"
201584449,Biological Sciences,"Laboratory,Health Research,Field,Outreach,Systematic Review","Infection biology,Emerging infections and pandemic threats,Wildlife and zoonotic disease,Global health,Human immunology","LIFE202,LIFE209,LIFE210,LIFE221,LIFE223,LIFE225,LIFE227,LIFE228,LIFE236,LIFE240"
201584810,Biological and Medical Sciences,"Laboratory,Grant proposal,Systematic Review,Health Research,Journalism","Musculoskeletal ageing,Cancer medicine,Cancer microenvironment,Cancer cell signalling,Global health","LIFE202,LIFE204,LIFE205,LIFE206,LIFE207,LIFE223,LIFE225,LIFE227,LIFE229,LIFE234"
201585740,Biological Sciences,"Laboratory,Systematic Review,Health Research,Data analysis,Grant proposal","Cancer immunology,Cancer microenvironment,Cancer cell signalling,Cancer genetics,Cardiotoxicity","LIFE202,LIFE204,LIFE205,LIFE207,LIFE221,LIFE223,LIFE227,LIFE229,LIFE232,LIFE242"
